"Code","Name","Class","Code","Categories","Time","Fine","Description"
"250","Fraud","Misdemeanor","Criminal Code","Fraud","10","$26,000","The wrongful or criminal deception intended to result in financial or personal gain."
"251","Felony Fraud","Felony","Criminal Code","Fraud","20","$39,000","The wrongful or criminal deception intended to result in financial or personal gain from a business or institution."
"252","Forgery","Felony","Criminal Code","Fraud","20","$10,400","Creates false documentation, including ID cards, License Plates, Money, or Contracts."
"253","Impersonating a Government Official","Felony","Criminal Code","Fraud","45","$60,000","Falsely represents themselves as an official of any government agency in a manner that is reasonably convincing."
"254","Identity Theft","Felony","Criminal Code","Fraud","10","$15,000","The fraudulent acquisition and use of a person's private identifying information."
"300","Weapon Trafficking","Felony","Criminal Code","Weapons","0","$0","Transports, possesses, or brings across state lines large quantities (16+) of unregistered, or improperly registered weapons/explosives. Firearm attachments will not count towards this. This is a Hold Until Trial Charge!"
"301","Sale of Illegal Weaponry","Felony","Criminal Code","Weapons","60","$39,000","The selling or trading of weaponry or illegal firearm attachments without a valid permit."
"302","Manufacturing of Weaponry","Felony","Criminal Code","Weapons","0","$0","Creation of or possession of equipment to manufacture weapons (firearms and explosives). Equipment is considered a weapon manufacturing tool in addition to materials and weapon parts. This is a Hold Until Trial Charge!"
"304","Negligent Ownership of a Firearm","Infraction","Criminal Code","Weapons","0","$2,600","Fails to exercise reasonable care in securing, handling, or using a firearm."
"305","Criminal Possession of Weapon Attachments","Misdemeanor","Criminal Code","Weapons","5","$2,600","Possesses 1-4 illegal firearm attachments (e.g., suppressors, extended magazines)."
"306","Criminal Use of a Firearm","Misdemeanor","Criminal Code","Weapons","10","$13,000","Uses a firearm against someone or carries it with intent to use against someone. Also applies to projectile weapons including antique projectile weapons. Does not apply to self-defense and does not overrule any other legal use."
"307","Criminal Possession of Explosives","Felony","Criminal Code","Weapons","30","$26,000","Possesses any amount of explosive devices, excluding fireworks, whether operational or not."
"308","Criminal Use of Explosives","Felony","Criminal Code","Weapons","40","$52,000","Throws, places, or propels an explosive into, against, or upon any real or personal property or uses an explosive device against a person/s. Excludes fireworks."
"310","Criminal Possession of a Class 1 Firearm","Felony","Criminal Code","Weapons","15","$7,000","Possesses 1-5 unregistered, improperly registered, or illegal class 1 firearms. Stackable up to 3 times."
"311","Criminal Possession of a Class 2 Firearm","Felony","Criminal Code","Weapons","25","$10,000","Possesses 1-5 unregistered, improperly registered, or illegal class 2 firearms. Stackable up to 3 times."
"312","Criminal Possession of a Class 3 Firearm","Felony","Criminal Code","Weapons","35","$13,000","Possesses 1-5 unregistered, improperly registered, or illegal class 3 firearms. Stackable up to 3 times."
"350","Desecration of a Corpse","Felony","Criminal Code","Public Nuisance","30","$10,400","Moves or damages a deceased individual without consent from their next of kin, or without appropriate authority from the State."
"351","Inciting a Riot","Felony","Criminal Code","Public Nuisance","40","$20,800","Incites violence as part of an assemblage of three or more persons."
"352","Unlawful Assembly","Misdemeanor","Criminal Code","Public Nuisance","20","$9,100","The gathering of people intended to disturb the peace or commit an unlawful act."
"353","Loitering","Misdemeanor","Criminal Code","Public Nuisance","5","$2,600","Remains in a place without apparent purpose."
"354","Vigilantism","Felony","Criminal Code","Public Nuisance","20","$34,860","Acts as law enforcement without appropriate authority."
"355","False Reporting","Misdemeanor","Criminal Code","Public Nuisance","10","$20,510","Reports a false or non-existent crime."
"356","Disturbing the Peace","Infraction","Criminal Code","Public Nuisance","0","$3,900","Causing a disruption or nuisance in a public space that bothers others. Must be weighed against social benefits and rights."
"357","Public Defecation","Misdemeanor","Criminal Code","Public Nuisance","5","$6,500","Urinating or defecating in public that is unwelcome, disturbing, or vandalizes property."
"358","Misuse of an Emergency Line","Misdemeanor","Criminal Code","Public Nuisance","5","$5,000","Uses an emergency line without proper cause."
"400","Failure to Obey a Lawful Order","Misdemeanor","Criminal Code","Legal Process","5","$5,200","Disobeys a lawful order from a Law Enforcement Officer or Officer of the Courts."
"401","Resisting","Misdemeanor","Criminal Code","Legal Process","5","$5,200","Flees from a police officer or resists being detained or arrested."
"402","Evading","Misdemeanor","Criminal Code","Legal Process","5","$10,400","Flees in a vehicle from a police officer to avoid being detained or arrested."
"403","Escaping","Felony","Criminal Code","Legal Process","10","$19,500","Escapes the custody of a Law Enforcement Officer or Police Department."
"404","Jailbreak","Felony","Criminal Code","Legal Process","0","$0","Escapes from the custody of the state while being held in the confines of, in transport to/from Boilingbroke State Penn, or hospitalized for intensive care. This is a Hold Until Trial Charge!"
"405","Failure to Obey a Court Order","Felony","Criminal Code","Legal Process","0","$0","Disobeys a court order. Time/fine is at Judge’s discretion."
"408","Obstruction of Justice","Misdemeanor","Criminal Code","Legal Process","15","$20,510","Interferes with the discovery, arrest, conviction, or punishment of a crime."
"409","Bribery","Misdemeanor","Criminal Code","Legal Process","10","$8,190","Offers a benefit to a public servant in return for beneficial treatment."
"410","Corruption","Felony","Criminal Code","Legal Process","30","$52,000","Public servant or official abuses the authority and access of their office, through gross negligence or maliciously."
"411","Possession of Gov. Equipment","Misdemeanor","Criminal Code","Legal Process","20","$39,000","Possesses or distributes government-issued equipment. Does not include equipment legally distributed by government employees."
"412","Prosecutorial Misconduct","Felony","Judicial Code","Legal Process","45","$52,000","A prosecutor or police officer overcharges someone in bad faith. Must be pressed by a Special Prosecutor or by a District Attorney."
"413","Voter Fraud","Felony","Criminal Code","Legal Process","10","$18,200","Possesses someone else's voter registration or uses it to cast a ballot in an official election."
"414","Election Interference","Felony","Criminal Code","Legal Process","120","$130,000","Unlawfully interferes with the conduct of an official election through fraudulent, deceptive, or coercive means, including tampering with voting systems, dissemination of false information, intimidation of voters, or obstruction of voter access. Voter Fraud alone does not constitute Election Interference."
"415","Conspiracy to Commit Election Interference","Felony","Criminal Code","Legal Process","300","$260,000","Willfully conspires with others to unlawfully interfere with the conduct of an official election through fraudulent, deceptive, or coercive means. Cannot be combined with Election Interference. Voter Fraud alone does not constitute Election Interference."
"416","Evidence Tampering","Felony","Criminal Code","Legal Process","10","$13,000","Tampers, conceals, removes, or transports evidence of a crime that can be used by Law Enforcement or the Courts to detain, arrest, or prosecute a person/s."
"417","Introducing Contraband into a Gov. Facility","Felony","Criminal Code","Legal Process","20","$13,000","Introducing, attempting to introduce, or possessing items that are considered contraband within a correctional facility."
"450","Non-display of an Official Inspector Grade","Infraction","Health and Safety Code","Commerce","0","$2,600","Operating a state-inspected and graded eatery, bar, or business without displaying an Official Inspector Grade of Health and Safety in a designated location."
"451","Noncompliance with a State Operations Code","Infraction","Health and Safety Code","Commerce","0","$13,000","Repeated noncompliance with health and safety standards set by the San Andreas Department of Public Health, not rectified on inspections."
"452","Unauthorized Excessive Modification of a Gov. Building","Infraction","Health and Safety Code","Commerce","0","$2,600","Unauthorized construction or modification of a government-leased building, assessed for structural integrity and public safety standards."
"453","Unauthorized Construction Hazardous or Offensive","Felony","Health and Safety Code","Commerce","15","$2,600","Unauthorized construction that is hazardous or offensive to the public, assessed by the Department of Public Health."
"454","Public Health Code Violation","Infraction","Health and Safety Code","Commerce","0","$520","Any condition deemed hazardous to an individual's health due to negligence, ignorance, malice, or other reasons."
"455","Public Safety Code Violation","Infraction","Health and Safety Code","Commerce","0","$520","Any physical obstruction to public safety or condition hazardous to operations, endangering physical safety due to negligence, ignorance, malice, etc."
"500","Street Racing","Misdemeanor","Highway Code","Transport","10","$10,000","Participates in a race with a motor vehicle without a proper permit."
"501","Reckless Speeding","Infraction","Highway Code","Transport","0","$390","Travels at excessive and reckless speed - greater than 35 mph+ over posted speed limit."
"502","Speeding","Infraction","Highway Code","Transport","0","$260","Driving a vehicle faster than legally allowed on a given road or highway."
"503","Failure to Stop","Infraction","Highway Code","Transport","0","$130","Fails to come to an appropriate stop at posted signs, intersections, and traffic control devices."
"504","Negligent Driving","Infraction","Highway Code","Transport","0","$650","Drives without due care and attention."
"505","Illegal Tint","Infraction","Highway Code","Transport","0","$130","Has window tint that obscures the view of the driver or passengers. Excludes government vehicles."
"506","Failure to Maintain Lane","Infraction","Highway Code","Transport","0","$130","Fails to operate a vehicle in a proper lane of travel, or passes in a dangerous manner."
"507","Driving While Intoxicated","Misdemeanor","Highway Code","Transport","10","$4,500","Driving, operating, or being in control of a vehicle while impaired by alcohol (>0.08 BAC) or drugs."
"508","Operating a Motor Vehicle without a License","Infraction","Highway Code","Transport","0","$650","Operates a motor without a valid driver's license in possession."
"509","Illegal Parking","Infraction","Highway Code","Transport","0","$250","Parks outside of a designated space.(e.g., on/blocking a crosswalk, blocking a driveway, on the sidewalk, occupying multiple spots, etc)"
"510","Violation of Disabled Parking Provisions","Infraction","Highway Code","Transport","0","$130","Parks in a space designated for disabled persons without a permit."
"511","Failure to Yield to Emergency Vehicles","Infraction","Highway Code","Transport","0","$260","Fails to pull to the side of the road to allow an emergency vehicle using lights and/or sirens to pass."
"512","Failure to Display License Plate","Infraction","Highway Code","Transport","0","$260","Fails to display an unobstructed view of a rear valid license plate. A vehicle may not be towed for this infraction alone."
"513","Impeding Traffic","Infraction","Highway Code","Transport","0","$520","Disrupts or stops the flow of traffic."
"514","Tailgating","Infraction","Highway Code","Transport","0","$260","Follows another vehicle at an unsafe distance."
"516","Endangering a Passenger","Infraction","Highway Code","Transport","0","$700","Permits a passenger to travel inside the trunk or storage space, or in an otherwise unsafe manner of their vehicle."
"517","Driving while Obstructed","Infraction","Highway Code","Transport","0","$260","Drives while wearing a headset, mask, or earplugs covering both ears of the driver."
"518","Malfunctioning Vehicle","Infraction","Highway Code","Transport","0","$195","Operates a vehicle that is not roadworthy, including excessive smoke/fumes, missing doors, damaged brake lights, bald or deflated tires, damaged headlights, etc."
"519","Parking with Expired Meter","Infraction","Highway Code","Transport","0","$260","Fails to pay the appropriate parking charges for a metered parking space."
"520","Unroadworthy Vehicle","Infraction","Highway Code","Transport","0","$195","Operates any vehicle not authorized for travel on a public road or walkway (e.g., golf carts, go-karts, rock loaders, lawnmowers, aircraft)."
"521","Operating a Motor Vehicle with a Revoked license","Misdemeanor","Highway Code","Transport","5","$15,000","Operates a motor vehicle while a license is revoked. "
"550","Flying in Restricted Airspace","Misdemeanor","Aircraft Code","Transport","10","$25,000","Flies over restricted airspace without authorization (e.g., Boilingbroke State Penn., Fort Zancudo, military aircraft carrier)."
"551","Negligent Operation of an Aircraft","Infraction","Aircraft Code","Transport","0","$10,000","Operates an aircraft in a way that is considered negligent. Comes with a free review of your pilot's license by licensing officials!"
"552","Reckless Operation of an Aircraft","Misdemeanor","Aircraft Code","Transport","10","$50,000","Operates an aircraft in a way that is considered reckless. Temporarily suspends Pilot's License until licensing review."
"553","Operating an Aircraft without a License","Misdemeanor","Aircraft Code","Transport","10","$26,000","Operates an aircraft without a valid pilot's license in possession."
"554","Operating an Aircraft with a Revoked license","Felony","Aircraft Code","Transport","20","$50,000","Operates an aircraft while a license is revoked. "
"600","Operating a Boat with a Revoked license","Misdemeanor","Boating Code","Transport","10","$20,000","Operates a seaworthy vessel while a license is revoked. "
"601","Operating a Boat without a License","Infraction","Boating Code","Transport","0","$10,000","Operates a seaworthy vessel without a valid boating license in possession."
"650","Embezzlement","Misdemeanor","Criminal Code","Commerce","10","$0","Uses trusted access to steal or misappropriate funds from a private business. Fine subject to amount embezzled."
"651","Felony Embezzlement","Felony","Criminal Code","Commerce","25","$0","Uses trusted access to steal or misappropriate funds from a public institution or state agency. Fine subject to amount embezzled."
"652","Money Laundering","Felony","Criminal Code","Commerce","30","$62,400","The concealment of the origins of illegally obtained money, typically by means of transfers involving foreign banks or legitimate businesses."
"653","Antitrust","Felony","Criminal Code","Commerce","0","$0","Found to engage in anticompetitive business practices that utilize illegal market manipulation tactics. This is a Hold Until Trial Charge!"
"654","Practicing without a License","Felony","Criminal Code","Commerce","25","$60,000","Performs regulated professional activities, without the proper license"
"655","Operating a Business without a License","Misdemeanor","Criminal Code","Commerce","15","$30,000","Operates a business without the appropriate licenses"
"700","Hunting/Fishing without a License","Infraction","Ranger Code","Environmental","0","$500","Participates in hunting or fishing without a license."
"701","Hunting/Fishing with a Suspended License","Misdemeanor","Ranger Code","Environmental","10","$1,500","Participates in hunting or fishing with a suspended license."
"702","Third Degree Animal Cruelty","Misdemeanor","Ranger Code","Environmental","5","$500","Inflicts deliberate harm, neglect, or abuse upon animals without legal justification."
"703","Second Degree Animal Cruelty","Felony","Ranger Code","Environmental","10","$1,500","Inflicts deliberate death upon animals without legal justification."
"704","First Degree Animal Cruelty","Felony","Ranger Code","Environmental","20","$3,000","Inflicts deliberate death upon a domesticated animal without legal justification."
"705","Wildlife Harassment","Misdemeanor","Ranger Code","Environmental","5","$750","Deliberately chases, disturbs, or provokes wildlife, disrupting natural habitat."
"706","Poaching","Felony","Ranger Code","Environmental","15","$3,000","Participates in hunting or fishing in a protected area."
"707","Hunting Outside a Permitted Area","Misdemeanor","Ranger Code","Environmental","10","$1,500","Participates in hunting outside a permitted area."
"708","Hunting with Illegal Equipment","Misdemeanor","Ranger Code","Environmental","10","$2,000","Participates in hunting while using a weapon other than the designated standard equipment, such as a hunting rifle."
"709","Possession of Protected Species (<10)","Misdemeanor","Ranger Code","Environmental","10","$3,000","Possesses up to 10 illegal (protected) species of fish or wildlife."
"710","Possession of Protected Species (10+)","Felony","Ranger Code","Environmental","15","$6,000","Possesses more than 10 illegal (protected) species of fish or wildlife."
"711","Destruction of Vegetation","Infraction","Ranger Code","Environmental","0","$250","Causes damage or destruction of park flora including grass, bushes, and trees, resulting in environmental harm or defacement."
"712","Illegal Dumping","Infraction","Ranger Code","Environmental","0","$2,000","Abandons property in San Andreas parks, beaches, territories, or trails over 25kg. Abandoned hazardous or toxic waste in any amount."
"713","Trapping without a license","Infraction","Ranger Code","Environmental","0","$4,000","Uses traps with the intent to catch game and fish without a license"
"714","Trapping with Unregistered Traps","Infraction","Ranger Code","Environmental","0","$1,500","Using traps that have not been registered with the SAPR with the intent to catch game and fish"
"715","Over Maximum Hunting/Fishing Limit >50 Over","Infraction","Ranger Code","Environmental","0","$850","Possesses more than 50 but less than 100 hunted animal meat or fish over the (50-piece-limit) on person and/or vehicle"
"716","Over Maximum Hunting/Fishing Limit >100 Over","Felony","Ranger Code","Environmental","15","$4,700","Possesses more than 100 hunted animal meat or fish over the (50-piece-limit) on person and/or vehicle"
"800","Tort: Breach of Contract","Civil Statute","Civil Statute","Civil","0","$0","Fails to follow the terms of a written or verbal contract."
"801","Tort: Negligence","Civil Statute","Civil Statute","Civil","0","$0","Acts without due care or attention, causing damage to people or property. The defendant must have breached a duty they had, and that the breach caused the damages."
"802","Tort: Malpractice","Civil Statute","Civil Statute","Civil","0","$0","As negligence, but within a license profession."
"803","Tort: Defamation","Civil Statute","Civil Statute","Civil","0","$0","A false statement about a person, that is communicated to a third party, where the defendant is at fault for at least negligence, and damages are suffered by the plaintiff's property, business, reputation, or profession. Statements about public officials require actual malice."
"804","Tort: Infliction of Emotional Distress","Civil Statute","Civil Statute","Civil","0","$0","Acts intentionally or recklessly in an extreme or outrageous manner to cause severe emotional distress through negligence or intent."
"805","Tort: Assault","Civil Statute","Civil Statute","Civil","0","$0","Commission of Assault against the plaintiff. Damages occur based on severity and cause of assault."
"806","Tort: Battery","Civil Statute","Civil Statute","Civil","0","$0","Commission of Battery against the plaintiff. Damages occur based on severity and cause of battery."
"807","Tort: False Imprisonment and Kidnapping","Civil Statute","Civil Statute","Civil","0","$0","Commission of the illegal restriction of liberty or movement against the plaintiff."
"808","Tort: Nuisance","Civil Statute","Civil Statute","Civil","0","$0","An unreasonable, unwarranted, or unlawful interference with another person's private use and enjoyment of his or her property. Must be weighed against social benefits and rights."
"809","Tort: Trespass of Land","Civil Statute","Civil Statute","Civil","0","$0","Intentionally going on land that belongs to someone else or putting something on someone else’s property and refusing to remove it."
"810","Tort: Trespass of Property","Civil Statute","Civil Statute","Civil","0","$0","Intentional unlawful taking or damaging of another person's personal property without the owner’s permission."
"811","Tort: Malicious Filings","Civil Statute","Civil Statute","Civil","0","$0","Maliciously abusing the court system, such as excessive and unfounded civil filings or abusive appeals, causing economic or emotional damages to individuals. "
"812","Tort: Invasion of privacy","Civil Statute","Civil Statute","Civil","0","$0","Publicizing private affairs without legitimate public concern OR wrongful intrusion into a person's private activities OR releases private records inappropriately. Public areas grant no expectation of privacy."
"813","Tort: Fraud","Civil Statute","Civil Statute","Civil","0","$0","Commits fraud against the plaintiff."
"814","Constitutional Rights Violation","Civil Statute","Civil Statute","Civil","0","$0","An individual or group violating constitutional rights, enumerated or otherwise. Not used in conjunction with other civil statutes."
"850","Trapping License Fee","Fee","Ranger Code","Utilities","0","$1,400","Monthly License Fee for standard trapping license. Permits up to 15 fishing traps and up to 5 deep water crab traps. The may be charged multiple times to pre-pay for additional months."
"851","Trap Fee","Fee","Ranger Code","Utilities","0","$70","Fee of their cost per trap, engraved by SAPR"
"852","Hunting License Reinstatement Fee","Fee","Ranger Code","Utilities","0","$1,300","Fee to recover hunting license"
"853","Fishing License Reinstatement Fee","Fee","Ranger Code","Utilities","0","$1,300","Fee to recover fishing license"
"854","Firearms License Reinstatement Fee","Fee","Ranger Code","Utilities","0","$2,200","Fee to recover a concealed carry license"
"900","Conspiracy","Utility","Criminal Code","Utilities","0","$0","When 2 or more persons join together and form an agreement to violate the law, then act on that agreement."
"901","Accomplice","Utility","Criminal Code","Utilities","0","$0","Intentionally and voluntarily participates with another in a crime by encouraging or assisting in the commission of the crime."
"903","Attempted","Utility","Criminal Code","Utilities","0","$0","Takes one or more steps towards the commission of a crime."
"905","Bail","Utility","Criminal Code","Utilities","0","$0","A utility charge to release an individual on bail until their trial date."
"906","Hold Until Trial","Utility","Criminal Code","Utilities","0","$0","A utility charge to remand an individual to DOC custody until their trial date."
"950","Contempt of Court (Time)","Misdemeanor","Judicial Code","Legal Process","10","$0","Shows disobedience or discourtesy to the Court or its officers. Can be stacked."
"951","Contempt of Court (Fine)","Infraction","Judicial Code","Legal Process","0","$500","Shows disobedience or discourtesy to the Court or its officers. Can be stacked."
